id,listingId,vin,stockNumber,year,make,model,trim,bodyStyle,mileage,askingPrice,transmission,imageFileName,photoArchiveStatus,highlights,available,daysInStock
ncm-066,160,1FMCU9G97HUB58832,661392,2017,Ford,Escape,SE,Vehicle,114340,9200,Automatic,2017_Ford_Escape_SE_1FMCU9G97HUB58832.jpg,saved_primary_photo,Fog Lights|Rearview Camera|Steering Wheel Controls,true,1
ncm-067,162,5J6RE4H3XBL073838,661167,2011,Honda,CR-V,LX,Vehicle,151917,8995,Automatic,2011_Honda_CR_V_LX_5J6RE4H3XBL073838.jpg,saved_primary_photo,Side Airbags|Cruise Control|Rear Air/Heat,true,1
ncm-068,164,JF2SJADCXFH808741,42634,2015,Subaru,Forester,2.5i Premium,Vehicle,149473,8990,Automatic,2015_Subaru_Forester_2_5i_Premium_JF2SJADCXFH808741.jpg,saved_primary_photo,Rearview Camera|Side Airbags|Steering Wheel Controls,true,1
ncm-069,166,JF2SJAECXEH453616,661202,2014,Subaru,Forester,2.5i Premium,Vehicle,141801,8990,Automatic,,unresolved_no_live_match_in_this_pass,Rearview Camera|Heated Seats|Side Airbags,true,1
ncm-070,168,2GNFLGEK5F6174075,661191,2015,Chevrolet,Equinox,LT,Vehicle,107986,8990,Automatic,2015_Chevrolet_Equinox_LT_2GNFLGEK5F6174075.jpg,saved_primary_photo,Fog Lights|Rearview Camera|Heated Seats,true,1
ncm-071,170,JA4AZ3A37FZ004159,661259,2015,Mitsubishi,Outlander,SE,Vehicle,133728,8990,Automatic,2015_Mitsubishi_Outlander_SE_JA4AZ3A37FZ004159.jpg,saved_primary_photo,Fog Lights|Heated Seats|Steering Wheel Controls,true,1
ncm-072,172,2C4RDGCG4HR557301,61069,2017,Dodge,Grand Caravan,SXT,Vehicle,153722,8990,Automatic,2017_Dodge_Grand_Caravan_SXT_2C4RDGCG4HR557301.jpg,saved_primary_photo_noimage_placeholder,Side Airbags|Steering Wheel Controls|Power Liftgate,true,1
ncm-073,174,2GNFLHEK6E6239844,661157,2014,Chevrolet,Equinox,LTZ,Vehicle,115540,8990,Automatic,,listing_match_found_detail_not_resolved_in_this_pass,Fog Lights|Rearview Camera|Leather Interior,true,1
ncm-074,176,1FMCU0GX4EUA11874,661432,2014,Ford,Escape,SE,Vehicle,111352,8990,Automatic,,original_vin_not_matched_current_detail_page,Fog Lights|Rearview Camera|Side Airbags,true,1
ncm-075,177,2GNALCEK1G1174091,661419,2016,Chevrolet,Equinox,LT,Vehicle,140655,8990,Automatic,2016_Chevrolet_Equinox_LT_2GNALCEK1G1174091.jpg,saved_primary_photo_noimage_placeholder,Rearview Camera|Steering Wheel Controls|Cruise Control,true,1
ncm-076,178,2G1WG5E35D1126220,661323,2013,Chevrolet,Impala,LT,Vehicle,106488,8500,Automatic,2013_Chevrolet_Impala_LT_2G1WG5E35D1126220.jpg,saved_primary_photo,Steering Wheel Controls|Cruise Control|Tire Pressure Monitoring,true,1
ncm-077,180,1G4PS5SK8C4214652,661009,2012,Buick,Verano,Leather Group,Vehicle,102380,8490,Automatic,2012_Buick_Verano_Leather_Group_1G4PS5SK8C4214652.jpg,saved_primary_photo,Fog Lights|Heated Seats|Side Airbags,true,1
ncm-078,182,KNDJN2A28F7783313,661055,2015,Kia,Soul,Base,Vehicle,97228,8100,Automatic,2015_Kia_Soul_Base_KNDJN2A28F7783313.jpg,saved_primary_photo,Side Airbags|Steering Wheel Controls|Cruise Control,true,1
ncm-079,184,19XFA1F51BE011082,661320,2011,Honda,Civic Sdn,LX,Vehicle,121620,8100,Automatic,2011_Honda_Civic_Sdn_LX_19XFA1F51BE011082.jpg,saved_primary_photo_noimage_placeholder,Side Airbags|Cruise Control|Rear Air/Heat,true,1
ncm-080,186,4S4BRCBC0A3332796,661417,2010,Subaru,Outback,Premium,Vehicle,118051,8100,Automatic,,unresolved_no_exact_live_match_in_this_pass,Fog Lights|Side Airbags|Cruise Control,true,1
ncm-081,187,1FMCU0GX6EUC00185,661333,2014,Ford,Escape,SE,Vehicle,156654,8075,Automatic,2014_Ford_Escape_SE_1FMCU0GX6EUC00185.jpg,saved_primary_photo,Fog Lights|Rearview Camera|Side Airbags,true,1
ncm-082,189,3FA6P0HD1FR239147,61056,2015,Ford,Fusion,SE,Vehicle,139806,7990,Automatic,2015_Ford_Fusion_SE_3FA6P0HD1FR239147.jpg,saved_primary_photo,Rearview Camera|Side Airbags|Steering Wheel Controls,true,1
ncm-083,191,5NPDH4AE4GH668604,661078,2016,Hyundai,Elantra,Limited,Vehicle,101765,7990,Automatic,2016_Hyundai_Elantra_Limited_5NPDH4AE4GH668604.jpg,saved_primary_photo,Fog Lights|Rearview Camera|Leather Interior,true,1
ncm-084,193,KMHTC6AD8DU091666,661046,2013,Hyundai,Veloster,w/Gray Int,Vehicle,119978,7990,Automatic,2013_Hyundai_Veloster_w_Gray_Int_KMHTC6AD8DU091666.jpg,saved_primary_photo,Side Airbags|Steering Wheel Controls|Cruise Control,true,1
ncm-085,195,KNDJP3A59G7323427,661278,2016,Kia,Soul,+,Vehicle,131787,7990,Automatic,2016_Kia_Soul_Plus_KNDJP3A59G7323427.jpg,saved_primary_photo_noimage_placeholder,Fog Lights|Rearview Camera|Side Airbags,true,1
ncm-086,197,1C3CCBAB8EN146323,661258,2014,Chrysler,200,LX,Vehicle,117641,7990,Automatic,2014_Chrysler_200_LX_1C3CCBAB8EN146323.jpg,saved_primary_photo,Side Airbags|Steering Wheel Controls|Cruise Control,true,1
ncm-087,199,1NXBU4EE6AZ315447,661336,2010,Toyota,Corolla,LE,Vehicle,134637,7990,Automatic,2010_Toyota_Corolla_LE_1NXBU4EE6AZ315447.jpg,saved_primary_photo_noimage_placeholder,Side Airbags|Satellite Radio|Tire Pressure Monitoring,true,1
ncm-088,201,JM1BL1W76C1648466,661394,2012,Mazda,Mazda3,i Grand Touring,Vehicle,118706,7990,Automatic,2012_Mazda_Mazda3_i_Grand_Touring_JM1BL1W76C1648466.jpg,saved_primary_photo,Side Airbags|Steering Wheel Controls|Cruise Control,true,1
ncm-089,203,JF2SJAEC9EH437245,42786,2014,Subaru,Forester,2.5i Premium,Vehicle,134984,7900,Automatic,2014_Subaru_Forester_2_5i_Premium_JF2SJAEC9EH437245.jpg,saved_primary_photo,Steering Wheel Controls|Cruise Control|Power Seats,true,1
